id;hash;previous_hash;merkle_root;timestamp;nonce;trading_volume
1;Shore Agent;schemas program;payment;2021-10-18T14:55:12;2870;6400
2;Facilitator Sierra;Tasty Dirham;quantifying attitude Card;2021-10-18T09:02:01;42203;29239
3;RSS strategize invoice;panel magenta sensor;Bermuda Rubber;2021-10-18T05:20:28;95570;26787
4;Steel bypass groupware;Crest Tasty;Markets;2021-10-18T05:11:59;99241;68101
5;conglomeration Nebraska;Balboa Optimized leading-edge;Inverse exuding Graphical;2021-10-18T18:51:06;83037;1179
6;holistic;non-volatile backing overriding;Account;2021-10-18T18:19:30;7333;81198
7;Generic;Communications;Industrial;2021-10-18T01:57:01;34251;3929
8;even-keeled Outdoors;primary Savings moderator;navigate;2021-10-18T03:34:14;67344;93662
9;sensor well-modulated;Intuitive Account;portals Markets Solutions;2021-10-18T10:34:43;4943;59650
10;haptic e-business;firmware extranet;transmitting;2021-10-18T02:17:22;99463;49253
